# 読み上げエンジンのユーザー辞書。
#
# 読み上げた結果が間違っていた語と、英語発音より日本語読みの方が
# 聞き取りやすい略語だけを登録する。
# Style-Bert-VITS2 の英語 G2P は優秀で、Swift・commit・deploy などは
# 辞書なしで正しく読めるため入れない。
#
# 形式: 表層形 <TAB> 読み(カタカナ) <TAB> アクセント型
# アクセント型は音が下がる位置。0 は平板（下がらない）で、技術用語はこれで概ね自然になる。

# --- 明確な誤読 ---
nil	ニル	0
async	エーシンク	0
await	アウェイト	0
# 「空」は技術文脈ではほぼ「から」。単独で登録するため「空間」「空港」に影響しうる。
# 影響が出たら単独の行を消し、複合語だけを残す。
空	カラ	0
空文字	カラモジ	0
空文字列	カラモジレツ	0
空配列	カラハイレツ	0
rebase	リベース	0
diff	ディフ	0
repo	レポ	0
Kubernetes	クーベルネティス	0
CocoaPods	ココアポッズ	0
nginx	エンジンエックス	0
regex	レジェックス	0
Xcode	エックスコード	0
SwiftUI	スイフトユーアイ	0
UIKit	ユーアイキット	0
Objective-C	オブジェクティブシー	0
Codable	コーダブル	0
Sendable	センダブル	0
Optional	オプショナル	0
enum	イーナム	0
struct	ストラクト	0
protobuf	プロトバフ	0
Bitrise	ビットライズ	0
develop	ディベロップ	0

# --- 略語（英語発音より日本語読みの方が聞き取りやすい） ---
MCP	エムシーピー	0
LLM	エルエルエム	0
API	エーピーアイ	0
SDK	エスディーケー	0
CLI	シーエルアイ	0
GUI	ジーユーアイ	0
UI	ユーアイ	0
UX	ユーエックス	0
iOS	アイオーエス	0
macOS	マックオーエス	0
npm	エヌピーエム	0
PR	プルリクエスト	0
MR	マージリクエスト	0
e2e	イーツーイー	0
E2E	イーツーイー	0
CI	シーアイ	0
CD	シーディー	0
SQL	エスキューエル	0
MySQL	マイエスキューエル	0
PostgreSQL	ポストグレスキューエル	0
JWT	ジェイダブリューティー	0
gRPC	ジーアールピーシー	0
GraphQL	グラフキューエル	0
REST	レスト	0
JSON	ジェイソン	0
YAML	ヤムル	0
TOML	トムル	0
MVVM	エムブイブイエム	0
MVC	エムブイシー	0
TDD	ティーディーディー	0
DDD	ディーディーディー	0
DI	ディーアイ	0
ORM	オーアールエム	0
CRUD	クラッド	0
OAuth	オーオース	0
TLS	ティーエルエス	0
DNS	ディーエヌエス	0
HTTP	エイチティーティーピー	0
HTTPS	エイチティーティーピーエス	0
IDE	アイディーイー	0
OS	オーエス	0
DB	ディービー	0
QA	キューエー	0

# --- 固有名詞 ---
Claude	クロード	0
Anthropic	アンソロピック	0
VOICEVOX	ボイスボックス	0
AivisSpeech	アイビススピーチ	0
